nu	uc	ur	ul
40	0.2541	0.0101	0.0048
930	0.3006	0.0302	0.0486
1250	0.3511	0.0457	0.1013
1440	0.3989	0.0588	0.1526
1590	0.4527	0.0731	0.2108
1690	0.5000	0.0863	0.2627
1770	0.5472	0.0974	0.3156
1840	0.5964	0.1100	0.3712
1900	0.6461	0.1227	0.4288
1960	0.7031	0.1374	0.4970
2000	0.7440	0.1484	0.5486
2050	0.7975	0.1634	0.6203
2100	0.8575	0.1795	0.7004
2140	0.9004	0.1924	0.7641
2190	0.9572	0.2080	0.8484
2250	1.0005	0.2228	0.9387
2260	1.0049	0.2245	0.9513
2270	1.0080	0.2261	0.9632
2280	1.0100	0.2274	0.9736
2282	1.0102	0.2278	0.9761
2284	1.0105	0.2279	0.9775
2286	1.0106	0.2282	0.9797
2287	1.0107	0.2284	0.9807
2288	1.0107	0.2285	0.9815
2289	1.0107	0.2286	0.9825
2290	1.0108	0.2287	0.9835
2291	1.0108	0.2288	0.9844
2292	1.0108	0.2289	0.9852
2293	1.0109	0.2290	0.9862
2294	1.0108	0.2291	0.9871
2295	1.0107	0.2291	0.9880
2296	1.0108	0.2291	0.9890
2297	1.0109	0.2293	0.9900
2298	1.0108	0.2293	0.9908
2299	1.0108	0.2295	0.9917
2300	1.0108	0.2296	0.9928
2301	1.0108	0.2297	0.9935
2302	1.0106	0.2297	0.9941
2303	1.0105	0.2298	0.9950
2304	1.0103	0.2298	0.9960
2305	1.0102	0.2298	0.9965
2306	1.0101	0.2299	0.9972
2307	1.0100	0.2300	0.9978
2308	1.0098	0.2300	0.9986
2309	1.0095	0.2301	0.9991
2310	1.0091	0.2301	1.0000
2311	1.0089	0.2301	1.0006
2312	1.0088	0.2301	1.0014
2313	1.0087	0.2301	1.0022
2314	1.0085	0.2303	1.0027
2315	1.0083	0.2303	1.0037
2316	1.0080	0.2303	1.0042
2317	1.0077	0.2303	1.0048
2318	1.0073	0.2304	1.0054
2319	1.0079	0.2304	1.0059
2323	1.0061	0.2305	1.0086
2325	1.0052	0.2305	1.0094
2327	1.0044	0.2305	1.0104
2328	1.0040	0.2305	1.0110
2329	1.0036	0.2305	1.0114
2330	1.0030	0.2306	1.0118
2331	1.0028	0.2306	1.0123
2332	1.0023	0.2305	1.0132
2333	1.0016	0.2304	1.0129
2334	1.0013	0.2304	1.0138
2335	1.0007	0.2304	1.0142
2337	0.9998	0.2303	1.0148
2339	0.9986	0.2303	1.0154
2341	0.9973	0.2302	1.0159
2343	0.9962	0.2300	1.0170
2345	0.9947	0.2299	1.0176
2347	0.9935	0.2299	1.0178
2350	0.9918	0.2297	1.0182
2352	0.9904	0.2295	1.0188
2354	0.9883	0.2295	1.0188
2356	0.9871	0.2292	1.0192
2358	0.9857	0.2291	1.0196
2360	0.9844	0.2290	1.0199
2365	0.9808	0.2285	1.0201
2366	0.9799	0.2284	1.0201
2367	0.9790	0.2283	1.0201
2368	0.9783	0.2281	1.0201
2369	0.9772	0.2280	1.0202
2370	0.9765	0.2279	1.0202
2371	0.9759	0.2278	1.0201
2372	0.9748	0.2276	1.0200
2373	0.9737	0.2275	1.0199
2374	0.9729	0.2275	1.0199
2375	0.9721	0.2274	1.0199
2376	0.9713	0.2273	1.0198
2377	0.9704	0.2272	1.0198
2378	0.9692	0.2270	1.0197
2379	0.9684	0.2269	1.0195
2380	0.9675	0.2268	1.0194
2382	0.9653	0.2263	1.0189
2384	0.9635	0.2261	1.0185
2386	0.9614	0.2259	1.0182
2390	0.9573	0.2253	1.0175
2395	0.9520	0.2244	1.0159
2410	0.9353	0.2217	1.0107
2430	0.9108	0.2175	1.0008
2490	0.8281	0.2023	0.9550
2650	0.6174	0.1588	0.8000
